what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377282199624
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282200601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282207246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282237470
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282237608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377282265366
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282266006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282270582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282298263
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282298410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377282318597
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282319453
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282324603
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282333395
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282335113
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282342796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282348519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282365746
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282365866
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282367100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282411817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282496602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282550666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282558817
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282574975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282576794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282597724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282598198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282617022
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282628906
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282632026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282642826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282650580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377282666241
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282669039
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282669801
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282686468
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282687165
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282687873
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282688543
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282691139
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282693136
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1377282693585
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377282698425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377282732601
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1377282733489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377282751025
